T	T_Z	T_Z	T_U	T_M	PWM
01:13:33	81.67099	81.9899	25.42802	83.6792	0.02
01:13:34	81.67099	81.9899	25.43718	83.65479	0.02
01:13:34	81.67691	81.98691	25.42802	83.65479	0.02
01:13:35	81.67691	81.98691	25.41887	83.61816	0.02
01:13:35	81.67691	81.98691	25.42497	83.61206	0.02
01:13:36	81.68283	81.98691	25.45549	83.60596	0.02
01:13:36	81.68283	81.98691	25.4738	83.59375	0.02
01:13:37	81.68283	81.98245	25.36088	83.58765	0.02
01:13:37	81.68283	81.98245	25.42497	83.58765	0.02
01:13:38	81.67618	81.98245	25.44023	83.60596	0.02
01:13:38	81.67618	81.98245	25.43413	83.59375	0.02
01:13:39	81.67618	81.98245	25.38835	83.54492	0.02
01:13:39	81.67618	81.99139	25.39445	83.56323	0.02
01:13:40	81.6636	81.99139	25.45244	83.53271	0.02
01:13:40	81.6636	81.99139	25.41582	83.53271	0.02
01:13:41	81.6636	82.00186	25.37919	83.54492	0.02
01:13:41	81.6636	82.00186	25.44938	83.54492	0.02
01:13:42	81.66135	82.00186	25.4677	83.53271	0.02
01:13:42	81.66135	82.00186	25.44328	83.56934	0.02
01:13:43	81.66135	81.98691	25.44328	83.58765	0.02
01:13:43	81.67764	81.98691	25.42497	83.60596	0.02
01:13:44	81.67764	81.98691	25.46464	83.63037	0.02
01:13:44	81.67764	81.98691	25.46464	83.65479	0.02
01:13:45	81.67764	81.97946	25.45549	83.66699	0.02
01:13:45	81.67764	81.97946	25.44328	83.6792	0.02
01:13:46	81.66873	81.97946	25.4799	83.69751	0.02
01:13:46	81.66873	81.97946	25.44023	83.72192	0.02
01:13:47	81.66873	81.99512	25.48296	83.70972	0.02
01:13:47	81.67245	81.99512	25.49516	83.74023	0.02
01:13:48	81.67245	81.99512	25.47685	83.72192	0.02
01:13:48	81.67245	81.99512	25.44023	83.73413	0.02
01:13:49	81.68356	81.98914	25.50432	83.75854	0.02
01:13:49	81.68356	81.98914	25.49211	83.75854	0.02
01:13:50	81.68356	81.98914	25.44938	83.74023	0.02
01:13:50	81.68356	81.98914	25.46159	83.77686	0.02
01:13:51	81.67987	81.99136	25.52873	83.78296	0.02
01:13:51	81.67987	81.99136	25.47075	83.78296	0.02
01:13:52	81.67987	81.99136	25.52263	83.78296	0.02
01:13:52	81.67987	81.99136	25.4738	83.78296	0.02
01:13:53	81.6673	81.99136	25.51042	83.79517	0.02
01:13:53	81.6673	81.98245	25.5501	83.78296	0.02
01:13:54	81.6673	81.98245	25.48296	83.77686	0.02
01:13:54	81.6673	81.98245	25.51347	83.77686	0.02
01:13:55	81.6673	81.97495	25.51347	83.77075	0.02
01:13:55	81.67099	81.97495	25.54704	83.75854	0.02
01:13:56	81.67099	81.97495	25.46464	83.75244	0.02
01:13:56	81.67099	81.97495	25.46159	83.77075	0.02
01:13:57	81.68283	81.97421	25.51347	83.75854	0.02
01:13:58	81.68283	81.97421	25.48906	83.75854	0.02
01:13:58	81.68283	81.97421	25.51958	83.73413	0.02
01:13:59	81.67545	81.97421	25.48296	83.73413	0.02
01:13:59	81.67545	81.96075	25.4738	83.71582	0.02
01:14:00	81.67545	81.96075	25.45549	83.69141	0.02
01:14:00	81.67545	81.96075	25.47685	83.6731	0.02
01:14:01	81.67545	81.96075	25.52873	83.6731	0.02
01:14:01	81.66803	81.9585	25.50127	83.6731	0.02
01:14:02	81.66803	81.9585	25.54399	83.64868	0.02
01:14:02	81.66803	81.9585	25.50127	83.64868	0.02
01:14:03	81.66873	81.9585	25.53179	83.63647	0.02
01:14:03	81.66873	81.98093	25.51653	83.63037	0.02
01:14:04	81.66873	81.98093	25.50432	83.61816	0.02
01:14:04	81.66873	81.98093	25.51653	83.59375	0.02
01:14:05	81.66873	81.98544	25.53789	83.59375	0.02
01:14:05	81.68576	81.98544	25.51653	83.56323	0.02
01:14:06	81.68576	81.98544	25.52263	83.56934	0.02
01:14:06	81.68576	81.98544	25.50737	83.57544	0.02
01:14:07	81.67838	81.98544	25.55315	83.55103	0.02
01:14:07	81.67838	81.9675	25.49516	83.53271	0.02
01:14:08	81.67838	81.9675	25.4738	83.57544	0.02
01:14:08	81.67838	81.9675	25.5501	83.59375	0.02
01:14:09	81.66507	81.96896	25.52263	83.61206	0.02
01:14:09	81.66507	81.96896	25.55315	83.64868	0.02
01:14:10	81.66507	81.96896	25.5501	83.63647	0.02
01:14:10	81.66507	81.98019	25.51042	83.6792	0.02
01:14:11	81.68207	81.98019	25.5501	83.66699	0.02
01:14:11	81.68207	81.98019	25.53179	83.6792	0.02
01:14:12	81.68207	81.98019	25.5562	83.6792	0.02
01:14:12	81.68207	81.98019	25.57756	83.71582	0.02
01:14:13	81.67398	81.98465	25.54704	83.69751	0.02
01:14:13	81.67398	81.98465	25.50432	83.69141	0.02
01:14:14	81.67398	81.98465	25.52873	83.69141	0.02
01:14:14	81.67398	81.98315	25.51042	83.70972	0.02
01:14:15	81.67099	81.98315	25.54704	83.72192	0.02
01:14:15	81.67099	81.98315	25.54704	83.75244	0.02
01:14:16	81.67099	81.98315	25.52263	83.74023	0.02
01:14:16	81.67099	81.98242	25.50737	83.74023	0.02
01:14:17	81.6806	81.98242	25.60198	83.73413	0.02
01:14:17	81.6806	81.98242	25.54704	83.72192	0.02
01:14:18	81.6806	81.98242	25.56841	83.74023	0.02
01:14:18	81.6806	81.97794	25.55315	83.75244	0.02
01:14:19	81.6821	81.97794	25.58672	83.74023	0.02
01:14:19	81.6821	81.97794	25.55315	83.74023	0.02
01:14:20	81.6821	81.97641	25.54704	83.72192	0.02
01:14:20	81.68655	81.97641	25.5501	83.74023	0.02
01:14:21	81.68655	81.97641	25.58977	83.72192	0.02
01:14:21	81.68655	81.97641	25.54094	83.71582	0.02
01:14:22	81.68655	81.97641	25.57756	83.72192	0.02
01:14:22	81.68506	81.98242	25.57756	83.72192	0.02
01:14:23	81.68506	81.98242	25.61113	83.70972	0.02
01:14:23	81.68506	81.98242	25.54399	83.70972	0.02
01:14:24	81.68506	81.96899	25.57146	83.71582	0.02
01:14:24	81.6843	81.96899	25.60198	83.72192	0.02
01:14:25	81.6843	81.96899	25.55925	83.69141	0.02
01:14:25	81.6843	81.96899	25.54094	83.6792	0.02
01:14:26	81.6843	81.95779	25.56841	83.6731	0.02
01:14:26	81.68802	81.95779	25.54704	83.6792	0.02
01:14:27	81.68802	81.95779	25.64165	83.63647	0.02
01:14:27	81.68802	81.95779	25.58061	83.64868	0.02
01:14:28	81.68356	81.96378	25.62029	83.64868	0.02
01:14:28	81.68356	81.96378	25.61113	83.61816	0.02
01:14:29	81.68356	81.96378	25.64165	83.61206	0.02
01:14:29	81.68356	81.96378	25.6386	83.61816	0.02
01:14:30	81.67392	81.95853	25.59893	83.58765	0.02
01:14:30	81.67392	81.95853	25.58061	83.59375	0.02
01:14:31	81.67392	81.95853	25.5623	83.57544	0.02
01:14:31	81.67392	81.95853	25.59282	83.56323	0.02
01:14:32	81.66949	81.95773	25.59893	83.56934	0.02
01:14:32	81.66949	81.95773	25.59587	83.57544	0.02
01:14:33	81.66949	81.95773	25.61724	83.58765	0.02
01:14:34	81.68283	81.95773	25.57146	83.58765	0.02
01:14:34	81.68283	81.96747	25.55315	83.59375	0.02
01:14:35	81.68283	81.96747	25.62029	83.63647	0.02
01:14:35	81.68283	81.96747	25.60808	83.63647	0.02
01:14:36	81.68283	81.96747	25.61724	83.65479	0.02
01:14:36	81.67914	81.98019	25.57146	83.6731	0.02
01:14:37	81.67914	81.98019	25.60808	83.6792	0.02
01:14:37	81.67914	81.98019	25.57756	83.69751	0.02
01:14:38	81.65695	81.98318	25.60198	83.71582	0.02
01:14:38	81.65695	81.98318	25.60808	83.74023	0.02
01:14:39	81.65695	81.98318	25.58061	83.77686	0.02
01:14:39	81.6658	81.98318	25.58977	83.78296	0.02
01:14:40	81.6658	81.98318	25.57451	83.77686	0.02
01:14:40	81.6658	81.97046	25.63555	83.78296	0.02
01:14:41	81.6658	81.97046	25.53484	83.79517	0.02
01:14:41	81.6658	81.97046	25.61113	83.79517	0.02
01:14:42	81.67026	81.97495	25.65081	83.81348	0.02
01:14:42	81.67026	81.97495	25.60198	83.79517	0.02
01:14:43	81.67026	81.97495	25.58061	83.78296	0.02
01:14:43	81.67026	81.97495	25.61113	83.79517	0.02
01:14:44	81.6658	81.98618	25.58672	83.78296	0.02
01:14:44	81.6658	81.98618	25.59587	83.78296	0.02
01:14:45	81.6658	81.98618	25.58061	83.77075	0.02
01:14:45	81.6658	81.98618	25.53484	83.73413	0.02
01:14:46	81.67245	81.9675	25.56841	83.73413	0.02
01:14:46	81.67245	81.9675	25.62639	83.72192	0.02
01:14:47	81.67245	81.9675	25.57146	83.72192	0.02
01:14:47	81.67245	81.9675	25.58061	83.6792	0.02
01:14:48	81.67245	81.96451	25.58672	83.6792	0.02
01:14:48	81.67245	81.96451	25.58672	83.69141	0.02
01:14:49	81.67245	81.96451	25.58061	83.65479	0.02
01:14:49	81.6799	81.96451	25.6325	83.65479	0.02
01:14:50	81.6799	81.95032	25.56841	83.63037	0.02
01:14:50	81.6799	81.95032	25.62639	83.63037	0.02
01:14:51	81.6799	81.95032	25.57146	83.63037	0.02
01:14:51	81.68356	81.95032	25.62334	83.61816	0.02
01:14:52	81.68356	81.94061	25.62029	83.61206	0.02
01:14:52	81.68356	81.94061	25.58672	83.59375	0.02
01:14:53	81.66727	81.94061	25.57451	83.57544	0.02
01:14:53	81.66727	81.94061	25.58061	83.57544	0.02
01:14:54	81.66727	81.96152	25.56841	83.57544	0.02
01:14:54	81.66727	81.96152	25.62334	83.56934	0.02
01:14:55	81.668	81.96152	25.56841	83.55103	0.02
01:14:55	81.668	81.966	25.55925	83.55103	0.02
01:14:56	81.668	81.966	25.58061	83.56934	0.02
01:14:56	81.668	81.966	25.57756	83.58765	0.02
01:14:57	81.67542	81.966	25.6386	83.59375	0.02
01:14:57	81.67542	81.97195	25.60198	83.61816	0.02
01:14:58	81.67542	81.97195	25.60808	83.63647	0.02
01:14:58	81.67542	81.97195	25.61419	83.63647	0.02
01:14:59	81.6806	81.97195	25.57451	83.63647	0.02
01:14:59	81.6806	81.97495	25.60198	83.6731	0.02
01:15:00	81.6806	81.97495	25.5501	83.6792	0.02
01:15:00	81.68134	81.97495	25.58977	83.6792	0.02
01:15:01	81.68134	81.96896	25.62639	83.69751	0.02
01:15:01	81.68134	81.96896	25.6386	83.71582	0.02
01:15:02	81.68134	81.96896	25.58977	83.72192	0.02
01:15:02	81.66949	81.96896	25.60808	83.71582	0.02
01:15:03	81.66949	81.96896	25.59893	83.72192	0.02
01:15:03	81.66949	81.95926	25.57451	83.73413	0.02
01:15:04	81.66949	81.95926	25.59587	83.70972	0.02
01:15:04	81.66876	81.95926	25.56841	83.70972	0.02
01:15:05	81.66876	81.97122	25.55315	83.71582	0.02
01:15:05	81.66876	81.97122	25.57146	83.71582	0.02
01:15:06	81.67542	81.97122	25.54399	83.71582	0.02
01:15:06	81.67542	81.97122	25.5501	83.71582	0.02
01:15:07	81.67542	81.96826	25.59282	83.69751	0.02
01:15:07	81.67542	81.96826	25.50127	83.69751	0.02
01:15:08	81.66876	81.96826	25.57146	83.69751	0.02
01:15:08	81.66876	81.96826	25.50432	83.6792	0.02
01:15:09	81.66876	81.9451	25.54094	83.6792	0.02
01:15:10	81.66876	81.9451	25.54704	83.69751	0.02
01:15:10	81.67691	81.9451	25.52873	83.6792	0.02
01:15:11	81.67691	81.9451	25.47685	83.69141	0.02
01:15:11	81.67691	81.94809	25.53484	83.69141	0.02
01:15:12	81.67691	81.94809	25.52263	83.65479	0.02
01:15:12	81.67987	81.94809	25.53484	83.64868	0.02
01:15:13	81.67987	81.94138	25.5623	83.66699	0.02
01:15:13	81.67987	81.94138	25.57451	83.66699	0.02
01:15:14	81.67023	81.94138	25.57146	83.64868	0.02
01:15:14	81.67023	81.94138	25.58061	83.6731	0.02
01:15:15	81.67023	81.95255	25.61113	83.61816	0.02
01:15:15	81.67023	81.95255	25.57756	83.61816	0.02
01:15:16	81.67023	81.95255	25.57146	83.60596	0.02
01:15:16	81.67023	81.95255	25.60198	83.60596	0.02
01:15:17	81.67023	81.94583	25.53179	83.59375	0.02
01:15:17	81.67023	81.94583	25.57756	83.59375	0.02
01:15:18	81.6821	81.94583	25.49211	83.56934	0.02
01:15:18	81.6821	81.93317	25.61419	83.57544	0.02
01:15:19	81.6821	81.93317	25.54094	83.56323	0.02
01:15:19	81.6843	81.93317	25.5501	83.55103	0.02
01:15:20	81.6843	81.93317	25.58367	83.55103	0.02
01:15:20	81.6843	81.93317	25.55925	83.55103	0.02
01:15:21	81.6843	81.95706	25.54399	83.5144	0.02
01:15:21	81.67172	81.95706	25.56841	83.53271	0.02
01:15:22	81.67172	81.95706	25.57146	83.56934	0.02
01:15:22	81.67172	81.95706	25.59587	83.54492	0.02
01:15:23	81.67172	81.95706	25.5501	83.56323	0.02
01:15:23	81.66879	81.95706	25.61113	83.61206	0.02
01:15:24	81.66879	81.95706	25.61724	83.58765	0.02
01:15:24	81.66879	81.98993	25.51653	83.60596	0.02
01:15:25	81.66879	81.98993	25.53789	83.61206	0.02
01:15:25	81.67322	81.98993	25.62029	83.59375	0.02
01:15:26	81.67322	81.98993	25.61113	83.66699	0.02
01:15:26	81.67322	82.00336	25.69658	83.61816	0.02
01:15:27	81.66879	82.00336	25.57451	83.63647	0.02
01:15:27	81.66879	82.00336	25.61419	83.66699	0.02
01:15:28	81.66879	81.96896	25.61419	83.66699	0.02
01:15:28	81.66879	81.96896	25.59893	83.6792	0.02
01:15:29	81.66287	81.96896	25.65081	83.66699	0.02
01:15:29	81.66287	81.96896	25.61419	83.66699	0.02
01:15:30	81.66287	81.9473	25.63555	83.66699	0.02
01:15:30	81.66287	81.9473	25.6325	83.66699	0.02
01:15:31	81.67099	81.9473	25.59893	83.65479	0.02
01:15:31	81.67099	81.9473	25.61724	83.69751	0.02
01:15:32	81.67099	81.95032	25.59893	83.69141	0.02
01:15:32	81.67615	81.95032	25.60198	83.69751	0.02
01:15:33	81.67615	81.95032	25.59893	83.69751	0.02
01:15:33	81.67615	81.95032	25.62639	83.70972	0.02
01:15:34	81.67615	81.96005	25.62639	83.71582	0.02
01:15:34	81.67615	81.96005	25.59282	83.69751	0.02
01:15:35	81.67615	81.96005	25.57451	83.6792	0.02
01:15:35	81.67392	81.96005	25.58977	83.70972	0.02
01:15:36	81.67392	81.96005	25.55315	83.69141	0.02
01:15:36	81.67392	81.96005	25.59282	83.69141	0.02
01:15:37	81.67392	81.96005	25.62944	83.66699	0.02
01:15:37	81.6658	81.96152	25.62029	83.6731	0.02
01:15:38	81.6658	81.96152	25.56841	83.65479	0.02
01:15:38	81.6658	81.96152	25.58672	83.66699	0.02
01:15:39	81.66727	81.96152	25.60808	83.63647	0.02
01:15:39	81.66727	81.95328	25.59282	83.61206	0.02
01:15:40	81.66727	81.95328	25.58061	83.61816	0.02
01:15:40	81.66727	81.95328	25.5623	83.60596	0.02
01:15:41	81.66727	81.94733	25.62029	83.60596	0.02
01:15:41	81.67096	81.94733	25.59282	83.61206	0.02
01:15:42	81.67096	81.94733	25.55925	83.58765	0.02
01:15:42	81.67096	81.94733	25.61724	83.56323	0.02
01:15:43	81.67245	81.94733	25.56841	83.58765	0.02
01:15:43	81.67245	81.94733	25.59893	83.56934	0.02
